Area,Kredete's Approach,Besidebanq's Current State,How Besidebanq Can Improve
Credit Building,Reports payments to credit bureaus; helps users build U.S. credit score from day one,Not mentioned,"Launch a credit-builder product (secured card or rent-reporting). Euda could auto-enroll users: ""Want me to report this payment to build your credit?"""
Investing,"Stocks, ETFs, and prediction markets inside the app",Not offered,"Add fractional U.S. stock/ETF investing; later expand to African markets (NSE, JSE). Euda could auto-invest spare change."
Card Product,"6% cashback, 170+ countries, Apple Pay, 150M+ merchants","""Cards"" shown in UI mockup with no details","Dedicate a full section: fees, limits, virtual cards, rewards. Consider diaspora-specific perks like zero FX on African currencies."
Social Proof,"""5M+ users"" with detailed, emotional testimonials",Four initials who claimed @tags,"Collect 3–5 real beta stories: ""Amara in Lagos received rent money in 8 seconds."" Trust beats novelty."
Local Banking Rails,"Vivid city scenarios: Faster Payments (GBP), ACH (USD), SEPA Instant (EUR), Tap-to-Pay (AED)","Generic ""Receive in any currency""","Show specific African last-mile rails: NIBSS Instant Pay (NGN), M-Pesa (KES), MTN MoMo (GHS), GhIPSS. Make it feel local at both ends."
Visual Storytelling,"Cinematic photography, editorial typography, warm tones, magazine-like",Clean but generic SaaS layout,"Invest in diaspora-specific photography: mother in Lagos receiving BanqDrop, student in Toronto buying eSIM, founder paying supplier. Users need to see themselves."
Savings APY,Up to 5% APY in USD,Up to 5.2% APY in USD,"Already ahead — highlight this more prominently. Add ""Euda Smart Vaults"" with AI-powered auto-transfers toward goals."
AI Personality,Background agent; transactional and invisible,"Euda — warm, empathetic, celebrates spending on friends","Already ahead — keep this tone. Expand Euda to proactive nudges: ""You usually send money home on the 1st. Want me to schedule it?"""
P2P Transfers,Agent-initiated cross-border sends,BanqDrop via @tag; OCR scan-to-transfer from WhatsApp screenshots,Already ahead — promote @tag simplicity vs. Kredete's agent. Add group splits and family wallets.
Non-Financial Services,None,"eSIM data (150+ countries), digital gift cards (Apple, Amazon, Netflix)","Already ahead — bundle these into ""Travel Home"" and ""Gifting"" packages. Cross-sell at remittance checkout."
Pricing Transparency,"Live rate calculator: ""exactly what they receive, no markup""",Transparent multi-asset rates shown,"Add a ""Compare"" tool showing Besidebanq vs. Western Union/MoneyGram fees side-by-side."
Community Features,None,None,"Launch group savings (ajo/esusu), shared family wallets, or diaspora investment clubs — something Kredete can't easily copy."
